Acc_date,Customer,Department,Sum,Payment_date,Exec_date,Responsible,Payment_time,Exec_time,month
2025-02-03,Бизнес-центр,ОЭЗиС,25200.0,2025-02-03,2025-02-03,Басов,0.0,0.0,2025-02
2025-02-03,Бизнес-центр,ОЭЗиС,500000.0,2025-02-03,2025-03-14,Басов,0.0,39.0,2025-02
2025-02-03,МВН Киссолово,ВИК,230000.0,2025-02-03,2025-03-19,Яблоков,0.0,44.0,2025-02
2025-02-03,Сервер,ОСС,8440.77,2025-02-05,2025-02-07,Мишин,2.0,4.0,2025-02
2025-02-03,АСН ОП АСЯ,ОСС,12000.0,2025-02-03,2025-02-07,Мишин,0.0,4.0,2025-02
2025-02-03,Сервер,ВИК,84288.0,2025-02-06,2025-02-27,Яблоков,3.0,24.0,2025-02
2025-02-05,Сервер,ОЭЗиС,18500.0,2025-02-06,2025-03-12,Яблоков,1.0,35.0,2025-02
2025-02-10,АМС,ОСС,15375.0,2025-02-12,2025-02-25,Мишин,2.0,15.0,2025-02
2025-02-10,АМС,ОСС,33864.8,2025-02-12,2025-02-25,Мишин,2.0,15.0,2025-02
2025-02-14,Бизнес-центр,ОЭЗиС,9720.0,2025-02-18,2025-04-01,Басов,4.0,46.0,2025-02
2025-02-14,Сити,ОСС,107386.21,2025-02-18,2025-03-12,Мишин,4.0,26.0,2025-02
2025-02-17,Бизнес-центр,ОСС,15754.52,2025-02-20,2025-02-17,Мишин,3.0,0.0,2025-02
2025-02-18,Бизнес-центр,ОЭЗиС,100000.0,2025-02-18,2025-03-14,Басов,0.0,24.0,2025-02
2025-02-18,Сервер,ОЭЗиС,7500.0,2025-02-18,2025-03-13,Басов,0.0,23.0,2025-02
2025-02-20,АМС ОП АМВО,ОСС,14392.5,2025-02-20,2025-02-25,Мишин,0.0,5.0,2025-02
2025-02-28,АСН ОП АСЯ,ОЭЗиС,12000.0,2025-04-04,2025-03-03,Басов,35.0,3.0,2025-02
2025-03-04,АМС ОП АМВО,ОЭЗиС,19100.0,2025-03-04,2025-03-04,Кузьмин,0.0,0.0,2025-03
2025-03-04,Сервер,ВИК,25050.0,2025-04-03,2025-03-12,Яблоков,30.0,8.0,2025-03
